Voltage_V,Time_s,Delta_Vth_V,N_it_cm2
3.2365898414673686,25.38567466827497,0.010912064075854211,68200400474.08881
2.9811969619780547,300.37294004552047,0.014896219715647587,93101373222.79741
3.0657268387118406,348.31235842430647,0.01710827095544178,106926693471.51112
0.8501919509938847,75.75781432900901,0.0008183465701884256,5114666063.677661
2.721474142910961,410.57916139499514,0.011793824728854657,73711404555.34161
1.947509266044637,16.471272475118752,0.0020851284844824554,13032053028.015347
3.0289520334760907,1761.006633347976,0.024546457979271758,153415362370.4485
1.289881281126225,335.575794268607,0.0020122115798347565,12576322373.967228
1.8708804132671617,1.6779418316186814,0.0010745085437713403,6715678398.570877
2.900680132195715,4.872707458522616,0.004826605849031747,30166286556.44842
1.363593773566206,15.886654332811375,0.0010254148751521362,6408842969.7008505
1.0322275409984454,331.4393484058653,0.0014724816345276757,9203010215.797974
1.4635312372424005,39.80581062604552,0.001454490425144636,9090565157.153975
2.970724354179032,2.3573516221267083,0.004378336381856074,27364602386.600464
0.8759014614224931,2.4743085148108346,0.0003587917662687544,2242448539.179715
1.2581808622008186,469.81046604252396,0.0021071035494431515,13169397184.019697
3.159755021724127,345.2276769494683,0.019109239589287723,119432747433.04828
0.5965693754836179,2350.8802270810693,0.0014246617726428653,8904136079.017908
2.037768693212137,11.773093699051804,0.002136548170022417,13353426062.640106
3.2939764478986713,15.191857243451427,0.010281812303921774,64261326899.51109
1.851206523030337,89.1595111896311,0.0028333775799783785,17708609874.864864
1.9023129559745724,29.51539623194058,0.0022851198243627855,14281998902.267408
2.516239598274219,6857.467661816004,0.018637502266495923,116484389165.59952
1.4753293055549945,1.7327676625443826,0.0006738417805760057,4211511128.600036
2.568533727359235,633.76808137204,0.01094164499816187,68385281238.51169
2.571804082338216,176.11675296610218,0.007975438184048162,49846488650.30102
2.809282838297585,13.629602322088148,0.005593556611055363,34959728819.096016
1.8218284845958304,348.00852658136984,0.003844585649944084,24028660312.150524
1.067575033643356,2.1079553890327967,0.00043384609148895947,2711538071.805997
2.4447217554745917,1547.502051756684,0.011789158596928313,73682241230.80196
2.217835572669989,294.69983546163235,0.005931676731352378,37072979570.95236
